,file_id,Entropy,PercentageOfNonGaps,PercentageOfTotallyConservedColumns,SumOfPairsBlosum62,SumOfPairsPAM250,StarBlosum62,StarPAM250
22,10t10,-287.895811354911,91.30116959064327,9.941520467836257,825,965,2545,2374
23,10t11,-387.09658259456336,93.03118908382066,4.093567251461988,593,1239,2901,2811
24,10t13,-461.28678632587054,84.93368700265252,1.8567639257294428,17768,21555,8341,8404
25,10t5,-107.43781298679168,98.80239520958084,53.59281437125748,851,821,2544,2401
26,10t8,-143.9643565350617,93.92045454545455,42.32954545454545,10682,10958,6690,6630
27,10t9,-208.68159776680645,95.16871165644172,22.085889570552148,3256,3326,3553,3333
28,112,-79.20640491875609,91.31455399061034,19.014084507042252,517,574,1212,1137
29,112t0,-13.16979643063896,100.0,84.8,552,511,1185,1064
30,113,-711.3441157086951,57.21674876847291,1.477832512315271,-20476,-20468,-2892,-3160
31,113t1,-26.339592861277897,98.62068965517241,96.25615763546797,4972,4805,10255,9902
32,115,-77.32499763328823,97.98657718120805,63.08724832214765,6807,6840,5017,4932
33,115t0,-72.78045395879433,98.8255033557047,64.76510067114094,1015,1057,2566,2540
34,115t1,-76.24618986159406,97.14765100671141,63.08724832214765,904,949,2414,2404
35,116,-287.5726537564765,51.67883211678832,1.2165450121654502,-6193,-6011,568,521
36,116t2,-260.62333989053997,72.22222222222223,7.160493827160494,-1739,-1660,356,279
37,117,-360.43653389117236,93.44660194174757,15.857605177993527,-411,-330,2705,2509
38,118,-93.67180382808796,80.03875968992249,17.05426356589147,65,211,734,755
39,118s0,-31.191623125197502,92.07920792079207,55.44554455445545,153,163,598,580
40,118s1,-71.49805085357491,81.77083333333334,28.125,66,127,644,650
41,119,-382.1350330259463,55.43364681295716,6.583072100313479,-5121,-4989,-238,-204
42,12,-416.86294258525135,19.01581004608832,0.0,4313254,4505441,113847,115428
43,120,-95.65431091727258,92.6470588235294,32.35294117647059,2567,2663,2450,2374
44,120s1,-87.83895522468386,90.19607843137254,32.35294117647059,1233,1334,2139,2242
45,121,-178.22898433971233,90.60975609756098,3.902439024390244,-57,63,1561,1591
46,121t0,-20.794415416798348,95.97989949748744,84.92462311557789,803,796,1809,1772
47,123,-223.43987344707455,87.24324324324324,10.27027027027027,1833,2016,3869,3719
48,123s2,-211.32270387387686,79.45945945945945,10.27027027027027,-316,-175,1948,1942
49,123t2,0.0,100.0,100.0,5577,5235,5577,5235
50,126,-157.20996554656585,90.40767386091127,14.028776978417264,670,725,2247,2151
51,126t0,-10.39720770839918,99.38524590163935,93.85245901639344,1181,1110,2443,2277
52,127,-304.5845364962576,93.734335839599,30.22556390977444,3907,4019,6946,6771
53,12s103,-176.26837740910526,89.83355825461089,11.538461538461538,75158,78303,12955,12749
54,12s106,-140.0139072673628,90.11257953989232,13.215859030837004,16257,15363,6572,6140
55,12s107,-165.8663462117517,56.05763688760807,5.475504322766571,526831,493537,36294,33626
56,12s108,-197.66947552729414,82.12139423076923,0.0,140218,136155,18276,17233
57,12s112,-231.7417881007047,79.87701441899915,0.0,550337,563146,34717,33763
58,12s114,-481.04414330860317,65.89986468200271,6.089309878213803,-3903,-3833,-116,-288
59,12s115,-226.65912804310258,64.67236467236467,6.837606837606838,-1911,-1894,-47,-176
60,12s117,-328.19984340115604,44.70666413518132,0.6550218340611353,1172281,1330580,49743,50990
61,12s19,-72.85029725806021,94.90538573508006,50.65502183406113,1922,1731,2667,2397
62,12s25,-81.09822012551369,75.59241706161137,44.54976303317535,-332,-352,344,293
63,12s4,-144.86776073702882,68.11145510835914,35.294117647058826,-1025,-1048,217,119
64,12s45,-74.66245575220111,89.41915227629514,16.73469387755102,70881,65799,13338,12259
65,12s49,-42.15674024224913,97.66816143497758,73.54260089686099,9393,8777,5178,4809
66,12s55,-102.06511221835441,71.96261682242991,31.775700934579437,1644,990,1409,1198
67,12s57,-96.20883739254224,83.55957767722474,39.81900452488688,259,206,1794,1651
68,12s58,-30.916448019936883,99.08256880733946,81.65137614678899,5897,5367,4176,3768
69,12s59,-32.67946866200411,98.68827160493827,77.77777777777779,14689,13390,6231,5668
70,12s61,-29.805328764077615,99.76851851851852,80.0925925925926,863,808,1990,1851
71,12s64,-96.54653642023143,90.20408163265306,39.183673469387756,3738,3613,3502,3284
72,12s65,-67.23527651431475,97.99107142857143,56.69642857142857,597,633,1750,1710
73,12s69,-36.73680056967707,98.19004524886878,76.01809954751131,828,826,1981,1912
74,12s70,-29.331767742700407,98.61751152073732,81.10599078341014,2858,2630,3120,2863
75,12s71,-49.840407932705105,98.86363636363636,69.54545454545455,5311,5121,3957,3773
76,12s74,-69.600114687152,92.99065420560748,31.308411214953267,13174,11794,6090,5498
77,12s76,-36.043653389117125,96.72489082969432,77.29257641921397,819,798,2038,1933
78,12s77,-128.89692292893238,87.66519823788546,24.229074889867842,22589,21383,7697,7233
79,12s79,-40.895683653036755,99.31192660550458,72.93577981651376,798,769,1943,1825
80,12s80,-96.23904983080577,87.78801843317973,29.953917050691242,1653,1371,2729,2409
81,12s81,-102.42786862017421,75.11682242990653,29.906542056074763,-163,-336,1393,1133
82,12s82,-121.99361216905736,80.08695652173913,27.391304347826086,998,832,2508,2255
83,12s83,-103.39732729022946,82.5,29.09090909090909,3062,2438,3433,3020
84,12s84,-105.4537397983264,94.76495726495726,38.034188034188034,3806,3955,3451,3390
85,12t107,-110.38482411545091,90.01536098310292,20.737327188940093,5876,5236,4189,3760
86,12t108,-224.75921107709314,79.64778867320392,0.0,278477,276862,25103,23873
87,12t109,-189.09832640075902,54.09152507036381,4.41988950276243,560373,531661,37779,35120
88,12t110,-169.69276094198196,89.61909871244634,13.733905579399142,50906,52464,10806,10522
89,12t113,-208.811786023587,53.78096479791395,3.8461538461538463,622222,602810,39726,37368
90,12t114,-492.82764537812227,56.968876860622466,3.7889039242219216,-4939,-4894,-3745,-3736
91,12t115,-282.11090248789833,87.36501079913607,12.095032397408207,-917,-885,1451,1404
92,12t116,-254.34865632773207,70.08333333333333,0.0,574222,594203,36182,35322
93,12t117,-317.2972876591444,69.93703148425787,0.6896551724137931,281745,442214,32571,34170
94,12t118,-700.266256873418,55.85250338294993,0.0,-15709,-15473,-6232,-6265
95,12t119,-376.2058789194923,27.434503213049922,0.130718954248366,2504113,2685869,78194,79957
96,13,-280.72460812677843,72.71714922048997,9.799554565701559,-1815,-1749,508,426
97,130,-512.5343106237616,64.57627118644068,4.576271186440678,-11891,-10559,304,487
98,130s0,-68.62157087543464,96.04430379746836,68.67088607594937,952,983,2506,2440
99,130s1,-76.93933704215401,99.48096885813149,61.5916955017301,846,881,2283,2227
100,130t2,-360.37819714701834,67.29237770193402,12.798634812286688,-2667,-2441,1124,1133
101,130t3,-344.6307249653174,66.48583484026523,13.381555153707053,-2788,-2569,901,904
102,132,-155.3415763478557,88.0952380952381,17.61904761904762,919,1184,1997,2086
103,132s0,-35.35050620855718,99.2063492063492,73.01587301587301,710,742,1698,1694
104,132t1,-109.74101695240253,92.22222222222223,30.0,1011,1120,1922,1955
105,133,-796.5892012429115,54.289799809342234,1.9065776930409915,-12789,-12220,-76,77
106,133t1,-346.7716572767663,96.69811320754717,10.377358490566039,455,738,2790,2838
107,134,-567.0897926030705,87.55674232309747,5.420560747663552,4201,5253,5983,5892
108,134s0,-53.372332903115804,99.7907949790795,83.89121338912135,2033,1882,4424,4038
109,134s1,-160.8101458899076,96.66666666666667,51.66666666666667,1040,1076,3527,3364
110,134s4,-487.3229572742809,90.24856596558317,10.325047801147228,6326,6989,6072,5988
111,134t2,-218.45360566178027,97.71784232365145,36.92946058091287,3354,3255,5137,4769
112,134t3,-309.76072566801565,90.43977055449331,24.8565965583174,1736,1849,4136,3981
113,134t4,-378.0544506633746,93.75,10.685483870967742,2635,2664,4969,4648
114,135,-289.0423742934978,95.65677966101696,11.652542372881355,-396,-296,1978,1798
115,136,-271.3794978466953,44.75913621262458,0.29069767441860467,85860,117257,12470,13670
116,136s14,-40.51961374219825,99.86301369863014,61.64383561643836,6081,6122,3347,3260
117,136s15,-38.12309493079697,99.33774834437087,63.576158940397356,461,492,1218,1191
118,136s16,-41.373222865305394,99.48051948051948,53.896103896103895,30011,30061,7187,7025
119,136s18,-43.668272375276544,100.0,60.12658227848101,517,552,1309,1283
120,136s19,-51.460507445320275,99.43661971830986,45.07042253521127,5257,5225,3057,2924
121,136s20,-66.36735741116001,99.88584474885845,36.3013698630137,7868,8087,3737,3674
122,136s22,-109.65448958670376,97.11302211302211,17.56756756756757,19984,21868,5029,5217
123,136s23,-78.3256314032739,94.87179487179488,27.564102564102566,42,98,799,800
124,136s24,-80.40507294495374,92.13836477987421,27.044025157232703,-17,38,763,764
125,136s25,-81.09822012551369,92.90322580645162,24.516129032258064,-35,-12,715,663
126,136s31,-200.02460945876308,89.71441320838912,0.6024096385542169,51898,70756,7805,8593
127,136s32,-303.290772722679,49.7093023255814,0.29069767441860467,-8342,-6938,1099,1222
128,136s8,-22.075433709453005,100.0,77.30496453900709,3770,3601,2686,2517
129,136t15,-67.96664791625784,98.45474613686534,43.70860927152318,1119,1230,1609,1598
130,136t21,-62.871591098756255,99.05548996458087,29.87012987012987,32562,33064,7453,7330
131,136t22,-215.56877315414343,71.74556213017752,7.988165680473373,-1454,-1421,-531,-574
132,136t24,-125.33908702056439,89.85507246376811,7.453416149068323,-94,86,839,889
133,136t25,-130.92052842277312,93.50649350649351,4.545454545454546,20160,22748,5112,5371
134,136t27,-288.6398397186509,52.50737463126844,0.5899705014749262,-6102,-5321,501,626
135,136t29,-166.8997846384337,93.13645064260322,1.257861635220126,57610,69990,8007,8492
136,136t30,-137.63771407789332,95.84905660377359,10.062893081761008,1827,2376,1848,1945
137,137,-262.58063106980995,92.14659685863874,13.612565445026178,15434,16484,8494,8551
138,137s3,-127.47634819967256,97.17333333333333,53.86666666666666,13495,13547,7867,7705
139,137t4,-178.90451054790404,93.24444444444444,38.4,14895,15114,8180,8063
140,138,-418.2712634232333,47.73770491803278,1.4754098360655739,-10587,-10276,787,689
141,138s1,-67.23527651431475,99.19354838709677,60.88709677419355,781,777,2102,1977
142,138t2,-167.35960042250016,82.94117647058823,20.0,13,16,2251,2071
143,139,-237.57406298874236,86.60394265232975,6.451612903225806,7744,9885,4204,4663
144,139s0,-11.090354888959125,96.56652360515021,93.13304721030042,1046,1077,2301,2362
145,139s2,-33.15085275246928,99.68102073365232,77.51196172248804,2775,2834,3024,3016
146,139s3,-36.043653389117125,100.0,76.036866359447,950,1021,2114,2203
147,139s4,-114.08055865375222,92.85714285714286,35.294117647058826,3408,3846,3083,3313
148,139s6,-161.2691239474371,94.08071748878923,13.004484304932735,3618,4003,3315,3414
149,139t4,-115.75557915351105,95.06726457399103,25.112107623318387,57,61,1142,1122
150,139t6,-181.26752549481878,89.07910271546635,16.115702479338843,7620,9100,3950,4342
151,14,-820.6304915501853,71.57718120805369,0.4026845637583893,-13800,-13271,-5879,-6041
152,140,-458.28214484909836,84.57067866516685,2.099737532808399,16739,20276,8042,8107
153,140s1,-98.05722987403541,99.49799196787149,59.93975903614458,3685,3786,4326,4260
154,140s4,-106.74466580623174,98.46625766871166,52.760736196319016,805,850,2442,2384
155,140s7,-188.51033768516763,97.66260162601625,28.96341463414634,1895,1984,3157,3079
156,140s9,-317.4044958607512,89.31741659014386,9.090909090909092,20159,21286,8289,8294
157,140t1,-92.8817221950328,99.0506329113924,57.59493670886076,847,849,2396,2249
158,140t10,-350.9231919866873,87.87465940054496,6.267029972752043,20903,22487,8326,8346
159,140t11,-280.42910647144987,95.40059347181008,10.385756676557865,1311,1562,2791,2699
160,140t3,-106.74466580623174,98.80239520958084,53.89221556886228,854,823,2547,2405
161,140t7,-270.0303326637699,94.35240963855422,12.349397590361445,2085,2314,3309,3223
162,140t8,-145.96286497460596,93.92045454545455,43.18181818181818,10587,10909,6647,6595
163,142,-146.94720227870866,97.00239808153478,49.16067146282973,863,872,2879,2737
164,144,-133.29993960829776,94.28571428571429,8.241758241758241,2836,3070,2675,2626
165,144s1,-51.670913656409994,96.33699633699634,56.59340659340659,1886,1841,2294,2177
166,144s2,-82.61376042329393,96.15384615384616,40.10989010989011,3270,3303,2768,2672
167,145,-51.1997815137845,95.47413793103448,84.69827586206897,5806,5636,6285,6052
168,146,-354.8913564466928,94.37194127243067,16.476345840130506,-307,-224,2803,2606
169,147,-180.21826694558612,97.63313609467455,48.717948717948715,1132,1145,3881,3702
170,14t0,-449.85252018340555,87.14670255720054,12.6514131897712,-1361,-1260,1636,1300
171,14t1,-664.6395969745805,67.24754244861484,0.8042895442359249,-8378,-8132,-4233,-4345
172,150,-134.83432097041555,98.73417721518987,54.43037974683544,8642,8726,6677,6536
173,16,-570.4601296008316,56.227967097532314,3.290246768507638,-5841,-5831,-1449,-1760
174,160,-153.52012647345754,91.19286510590858,35.11705685618729,1540,1731,2739,2756
175,160s0,-72.78045395879433,99.42528735632185,59.77011494252874,815,853,2224,2185
176,17,-574.6190126841909,68.44559585492229,14.093264248704662,-4151,-4098,-1107,-1341
177,181,-98.42689963951237,99.88290398126463,66.7447306791569,1541,1550,3823,3707
178,186,-197.62927489898584,84.8360655737705,21.779859484777518,4109,3814,4953,4637
179,19,-394.22403844454453,94.32555123216602,10.116731517509727,9224,9022,10753,10294
180,197,-241.79769106848966,87.86549707602339,23.684210526315788,12186,12451,7800,7690
181,197t3,-72.15713916397281,95.25462962962963,75.92592592592592,9805,9469,7341,7029
182,198,-113.67613761183121,97.36842105263158,38.34586466165413,398,451,1736,1742
183,199,-318.84770305757553,96.61654135338345,30.82706766917293,550,664,4135,4030
184,19s1,-442.49061298942286,94.16342412451363,10.116731517509727,2392,2449,6941,6696
185,19t1,-15.276340039075507,98.95120839033288,96.71682626538988,11028,10466,11328,10750
186,200,-522.4626982914142,88.50931677018633,14.130434782608695,4280,5473,6310,6364
187,200s0,-44.36141955583649,100.0,88.34244080145719,2576,2416,5431,5034
188,200t1,-197.5469464595848,97.45901639344262,53.278688524590166,1526,1718,4670,4770
189,200t2,-241.31599971925436,97.64844209288654,39.15343915343915,4494,4609,6442,6177
190,202,-112.28984325071131,94.50171821305842,44.329896907216494,452,508,1996,2050
191,218,-18.714973875118517,93.57142857142857,87.14285714285714,735,694,1810,1713
192,22,-1179.8018485149748,15.373426927211781,0.0,-1339821,-1260661,51401,52861
193,222,-316.07511433533574,92.17391304347827,20.695652173913043,-272,-117,2590,2600
194,225,-27.03274004183784,100.0,86.50519031141869,1326,1310,2846,2764
195,226,-104.78023767507875,89.8170246618934,63.48448687350835,3106,2967,4707,4488
196,22s18,-47.16928614559088,98.72146118721462,65.29680365296804,9290,8720,5115,4723
197,22s24,-89.53794559263794,94.61426491994177,52.838427947598255,1786,1726,2421,2265
198,22s30,-94.5022597417828,96.68202764976958,46.54377880184332,6692,6461,4123,3840
199,22s33,-183.8773540332375,92.42666666666666,38.666666666666664,8852,9094,6533,6469
200,22s34,-39.70482429618815,99.78991596638656,56.30252100840336,2789,2903,2127,2154
201,22s35,-134.40444292179635,94.29951690821257,34.34782608695652,107591,105174,15135,14393
202,22s36,-88.81271811558872,98.23874755381604,44.29223744292237,16359,15784,6350,5958
203,22s38,-152.5977198842085,93.87755102040816,25.108225108225106,137938,136757,16850,16155
204,22s4,-29.805328764077615,99.29906542056075,79.90654205607477,867,823,1968,1826
205,22s40,-149.71979100094845,96.6542750929368,19.702602230483272,11,95,1424,1487
206,22s41,-167.02078044769848,95.47832585949178,20.62780269058296,34592,35262,8279,8049
207,22s44,-1402.0662967055555,67.22408026755852,7.94314381270903,-19051,-19913,7832,6067
208,22s46,-2169.1804548567457,68.82034180908713,2.7928303459774906,-29459,-28893,-1340,-1925
209,22s51,-400.6390703636493,72.80564263322884,9.404388714733543,-2630,-2599,-758,-808
210,22s53,-270.2968472337375,92.7699530516432,6.760563380281689,-153,103,2321,2364
211,22s54,-412.4225724331684,66.26984126984127,5.555555555555555,-3336,-3290,25,-147
212,22s55,-314.8255375229014,63.544401544401545,2.0,176254,201040,19276,19702
213,22s56,-430.2374903089217,78.93013100436681,0.8733624454148471,-3373,-3010,1674,1751
214,22t39,-273.640800482754,91.57940663176265,13.612565445026178,9131,10060,6839,6932
215,22t40,-2151.844935150666,58.65873015873016,2.8174603174603177,-74264,-74048,-4932,-6180
216,22t42,-213.368023278289,61.64807930607187,7.434944237918216,-4121,-3744,814,885
217,22t43,-113.67613761183121,97.88732394366197,53.80281690140845,938,1023,2789,2782
218,22t44,-152.0132031872962,93.83116883116884,25.541125541125542,123489,122383,15894,15210
219,22t45,-226.25137317187702,66.84430027803522,6.325301204819277,32085,33175,8791,8572
220,22t46,-79.01877858383385,98.4375,49.107142857142854,523,580,1686,1647
221,22t47,-2118.31112632379,67.7265170407315,2.8678304239401498,-85621,-87015,2882,640
222,22t48,-253.82279263060033,69.16953528399311,6.024096385542169,24073,25508,7973,7749
223,22t49,-441.0387588286162,67.67279090113736,2.8871391076115485,-45859,-43400,-4187,-3975
224,22t50,-165.06648976438711,92.77389277389277,12.82051282051282,145846,146241,17409,16782
225,22t53,-456.9748373397708,52.84610983981693,0.6864988558352403,-187188,-142586,11737,12687
226,22t54,-330.94010926966587,83.9155749636099,6.768558951965066,-799,-546,2125,2185
227,22t55,-2311.809935808795,55.3682250724038,0.12412081092263137,-206587,-206917,-46499,-46920
228,22t56,-461.13968885535985,51.92845677596881,0.44943820224719105,-186614,-137491,12141,13263
229,22t58,-2220.0259636955752,45.6560717196414,0.0,-322992,-323415,-45274,-45788
230,22t59,-566.830215198213,69.86677115987462,0.6269592476489028,-6586,-6045,425,537
231,22t60,-2124.6414687999045,37.49566924587134,0.0,-542065,-539061,-41228,-41286
232,23,-44.36141955583649,85.71428571428572,23.809523809523807,-70,-32,313,343
233,231,-154.57182126486808,97.70833333333333,53.541666666666664,1172,1146,3621,3311
234,232,-65.84898215319485,98.03370786516854,46.62921348314607,371,403,1283,1280
235,235,-102.20707893514287,91.1214953271028,41.58878504672897,986,1028,1674,1636
236,235s0,-54.06548008367575,98.13084112149532,63.55140186915887,659,677,1784,1745
237,236,-207.9365267853505,93.37606837606837,20.192307692307693,940,1032,2377,2296
238,236s0,-146.2540550981487,95.64516129032258,31.93548387096774,254,300,1817,1720
239,24,-195.21943030735724,72.37176231589639,2.2346368715083798,-7722,-6505,741,691
240,248,-141.8116552935584,88.95833333333333,27.500000000000004,2125,2112,2569,2414
241,248s0,-30.49847594463756,92.7927927927928,80.18018018018019,728,655,1802,1632
242,249,-261.8643044760354,85.29741863075196,1.3468013468013467,472,949,2512,2400
243,249s1,-101.19948836175216,97.58620689655173,49.6551724137931,618,651,2087,2003
244,249t1,-9.010913347279288,100.0,94.51476793248945,1171,1063,2394,2146
245,249t2,-180.58448559317813,90.79685746352413,25.252525252525253,663,767,2279,2202
246,24s3,-59.61065752815533,82.99319727891157,41.49659863945578,-76,-79,481,420
247,24t4,-56.08242760471961,91.67785234899328,48.99328859060403,4202,4126,2561,2442
248,24t5,-63.76954061151501,92.12328767123287,36.986301369863014,118,135,780,748
249,24t6,-70.23405653923756,77.55102040816327,33.33333333333333,206,173,903,811
250,24t7,-113.98205810197622,80.4421768707483,9.523809523809524,-388,-311,643,584
251,24t8,-164.39920346842874,69.86817325800376,5.649717514124294,-2920,-2635,268,252
252,25,-304.29161226581664,79.52674897119341,9.670781893004115,-1537,-1470,985,878
253,252,-171.2073535983068,96.05263157894737,27.77777777777778,199,233,1980,1957
254,256,-307.6249700333936,81.85131195335276,5.539358600583091,-1818,-1508,1113,1150
255,256t0,-70.70101241711448,99.35064935064935,55.84415584415584,666,714,1859,1812
256,256t1,-166.35532333438718,97.6470588235294,29.411764705882355,328,376,2150,2096
257,259,-454.0114032667652,75.0,12.898936170212766,-2692,-2637,1251,1093
258,260,-241.90836601542142,95.35353535353535,29.494949494949495,308,442,2985,3076
259,263,-812.4822137576414,80.61666666666667,2.1333333333333333,-15930,-14250,4532,4269
260,263t0,-54.7586272642357,98.53228962818004,84.54011741682974,2326,2283,5077,4913
261,263t3,-289.6969455927691,98.61687413554634,47.57952973720608,15274,15074,12168,11457
262,263t4,-316.07511433533574,85.34031413612566,20.418848167539267,-821,-693,2228,2134
263,263t5,-611.2371926151831,87.38677536231884,7.336956521739131,3974,4564,8883,8365
264,264,-110.21040170903147,99.4279176201373,63.61556064073226,1389,1318,3606,3306
265,265,-308.4504953491763,78.8265306122449,24.31972789115646,-1277,-1266,754,664
266,267,-256.10327720380593,95.95286885245902,23.15573770491803,6643,6595,7052,6857
267,267t1,-78.28220867800951,99.16142557651992,75.8909853249476,6346,6172,6947,6707
268,268,-120.60760941743068,95.56213017751479,48.5207100591716,607,615,2266,2097
269,269,-121.30075659799063,98.60681114551083,45.82043343653251,709,741,2410,2401
270,27,-132.39111148694977,93.66197183098592,10.328638497652582,-236,-193,710,645
271,275,-56.83806880591554,99.46236559139786,82.36559139784946,2090,2059,4570,4401
272,277,-300.8258763630169,96.50537634408602,22.22222222222222,119,248,2969,2938
273,279,-255.77130962662036,80.16826923076923,11.298076923076923,-1209,-1141,323,312
274,28,-11.78350206951907,92.36111111111111,76.38888888888889,236,215,622,567
275,29,-187.1497387511856,96.22950819672131,11.475409836065573,-222,-155,1281,1228
276,294,-496.93417224543293,61.30750605326877,4.576271186440678,-14232,-12632,559,707
277,294s1,-68.62157087543464,96.04430379746836,68.67088607594937,952,983,2506,2440
278,294s2,-93.54951469483271,94.69434832756632,54.67128027681662,2190,2158,3187,3051
279,294s3,-216.26192033470338,95.50173010380622,46.02076124567474,977,1148,3820,3814
280,294t3,-323.8722206967041,60.98553345388788,13.01989150090416,-2928,-2682,1964,1910
281,294t4,-360.37819714701834,67.29237770193402,12.798634812286688,-2667,-2441,1124,1133
282,298,-44.36141955583649,99.0909090909091,41.81818181818181,239,296,804,830
283,3,-174.67308950110655,88.06228373702422,12.802768166089965,-473,-406,731,720
284,30,-202.17952998566,73.65236523652365,5.9405940594059405,-121,-98,2265,2178
285,300,-30.49847594463756,99.50738916256158,78.32512315270937,816,814,1874,1832
286,303,-306.2314108630727,72.36084452975048,15.738963531669867,-1309,-1296,2020,1750
287,303t0,-59.61065752815533,99.84227129337539,72.87066246056783,1249,1183,2919,2624
288,307,-254.24057687498376,74.68671679197995,13.283208020050125,17081,13258,7877,6536
289,307s2,-6.238324625039508,100.0,96.6542750929368,1327,1093,2692,2205
290,307s4,-111.1925302249015,77.5392670157068,46.33507853403142,8806,7255,5889,4939
291,307t6,-181.7211096201778,74.2248062015504,20.671834625322997,20856,17501,8388,7105
292,30t1,-10.39720770839918,98.5981308411215,92.99065420560748,1068,1014,2267,2143
293,30t2,-63.2324006879946,95.19890260631001,64.19753086419753,2583,2566,3226,3122
294,30t3,-128.78510397369553,74.15282392026577,40.863787375415285,2678,2523,3068,2893
295,316,-576.7400317268748,75.49425287356323,10.482758620689655,-11292,-10230,5105,5207
296,316t0,-246.0672490987811,98.19694868238558,50.762829403606105,1771,2006,5581,5656
297,316t3,-557.8495361162501,64.95132127955493,10.570236439499304,-10889,-10562,-822,-798
298,331,-4.852030263919617,100.0,96.71361502347418,1048,1019,2131,2061
299,332,-445.1777192466446,90.05952380952381,8.035714285714286,-603,-353,3076,3069
300,332t0,-235.6700413903819,93.69024856596559,34.990439770554495,438,483,3239,3180
301,34,-96.90293950049067,77.36111111111111,3.3333333333333335,1109,1153,1395,1266
302,341,-243.25689758459745,94.5483485873458,24.79108635097493,17280,16814,7784,7380
303,341s3,-131.1378985808611,98.61523244312562,49.85163204747774,3021,2876,3896,3604
304,341s4,-174.2264492597696,96.03064066852367,41.22562674094708,5555,5382,4974,4662
305,34s1,-24.649636515576184,99.62121212121212,56.81818181818182,965,893,1130,996
306,34t3,-62.96220103565498,98.20224719101124,14.606741573033707,1886,1825,1423,1286
307,35,-647.4318893727491,65.35519125683061,0.4098360655737705,-7911,-6924,2302,2462
308,351,-143.12655116965897,92.1875,9.659090909090908,638,884,1748,1773
309,351s0,-36.043653389117125,99.41176470588235,69.41176470588235,655,681,1546,1505
310,351t1,-92.38071836052114,97.33333333333333,32.0,1180,1330,1853,1869
311,354,-262.7236191018525,96.08753315649868,10.875331564986737,3105,3284,4611,4516
312,354s0,-33.271064666877336,100.0,87.16577540106952,1739,1702,3685,3540
313,354t1,-125.8373212299465,99.55673758865248,51.86170212765957,3951,4007,4851,4728
314,355,-415.54381196453454,79.38311688311688,4.761904761904762,-2110,-1835,1771,1668
315,355s0,-218.34136187638322,89.9002493765586,21.44638403990025,-313,-290,1416,1310
316,355s1,-230.81801112646227,90.75425790754258,18.97810218978102,-385,-334,1434,1347
317,35s0,-169.82105923718692,96.52777777777777,43.28703703703704,794,867,2994,2959
318,35t1,-262.65867721419977,94.9074074074074,26.15740740740741,2028,2267,3861,3868
319,35t2,-408.02446904683933,94.21768707482994,3.6281179138321997,731,1347,3537,3646
320,36,-165.66217615382723,92.65232974910394,14.336917562724013,-219,-164,1158,1105
321,361,-181.75328192748967,95.30516431924883,34.08450704225352,2117,2089,3453,3182
322,370,-181.11676775919486,95.39906103286386,34.36619718309859,2145,2115,3393,3134
323,370s0,-95.65431091727258,98.23529411764706,59.411764705882355,964,943,2649,2422
324,376,-107.43781298679168,97.02702702702703,16.216216216216218,9,83,1005,1039
325,379,-50.599744180876016,99.77973568281938,67.84140969162996,827,900,2029,2064
326,381,-435.9895765722066,61.516452074391985,10.014306151645208,-3940,-3924,-395,-524
327,383,-160.95815227735446,86.91983122362869,20.253164556962027,1640,1873,2407,2406
328,383s0,-88.72283911167311,92.7947598253275,44.10480349344978,280,313,1416,1413
329,383s1,-89.41598629223306,96.3768115942029,37.68115942028986,248,280,1364,1323
330,388,-34.19734903999837,95.90643274853801,53.50877192982456,1150,1146,1433,1387
